#ppt,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
2000-02-05T00:00:00Z,0,0,0
2000-02-06T00:00:00Z,0,0,0
2000-02-07T00:00:00Z,0,0,0
2000-02-08T00:00:00Z,1.0948718,22.255968,4.7176233
2000-02-09T00:00:00Z,0.18461539,2.148541,1.4657903
2000-02-10T00:00:00Z,1.5846153,53.648543,7.324516
2000-02-11T00:00:00Z,0.35897437,5.657825,2.3786183
2000-02-12T00:00:00Z,0.020512821,0.57824934,0.76042704
2000-02-13T00:00:00Z,1.031624,2.9249927,1.710261
2000-02-14T00:00:00Z,0.041025642,1.071618,1.03518985
2000-02-15T00:00:00Z,6.5,507.72414,22.532735
2000-02-16T00:00:00Z,0.20598291,87.88432,9.374664
2000-02-17T00:00:00Z,0,0,0
2000-02-18T00:00:00Z,0,0,0
2000-02-19T00:00:00Z,0,0,0
2000-02-20T00:00:00Z,0,0,0
2000-02-21T00:00:00Z,0,0,0
2000-02-22T00:00:00Z,0,0,0
2000-02-23T00:00:00Z,2.5854702,19.418362,4.406627
2000-02-24T00:00:00Z,2.1222222,25.519156,5.051649
2000-02-25T00:00:00Z,2.2179487,6.0968168,2.4691734
2000-02-26T00:00:00Z,2.2017095,28.465223,5.335281
2000-02-27T00:00:00Z,0.6632479,27.803418,5.2728945
2000-02-28T00:00:00Z,0.15042736,4.0107574,2.0026876
2000-02-29T00:00:00Z,0.7948718,2.9111406,1.7062065
2000-03-01T00:00:00Z,0.5965812,2.2057176,1.4851658
2000-03-02T00:00:00Z,0,0,0
2000-03-03T00:00:00Z,0,0,0
2000-03-04T00:00:00Z,0,0,0
2000-03-05T00:00:00Z,0,0,0
2000-03-06T00:00:00Z,0.06324787,1.94135,1.3933232
2000-03-07T00:00:00Z,0.53247863,0.7039493,0.8390169
2000-03-08T00:00:00Z,12.581197,437.6885,20.921006
2000-03-09T00:00:00Z,4.694017,98.229146,9.911062
2000-03-10T00:00:00Z,0,0,0
2000-03-11T00:00:00Z,0,0,0
2000-03-12T00:00:00Z,0,0,0
2000-03-13T00:00:00Z,0.05042735,1.3383437,1.15686804
